id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
195,stevig staan in de jeugdzorg,"jeugd, zorg, welzijn, samenleving",het gehele jeugdhulpwerkveld van de jeugdzorg wordt hier behandeld met bijbehorende competenties. dit is een verplichte minor voor profiel zorg en welzijn & samenleving als zij in de jeugdhulp willen werken. de minor is ontwikkeld met het werkveld.,het gehele jeugdhulpwerkveld van de jeugdzorg wordt hier behandeld met bijbehorende competenties. dit is een verplichte minor voor profiel zorg en welzijn & samenleving als zij in de jeugdhulp willen werken. de minor is ontwikkeld met het werkveld.,30,breda,71,nlqf6,ntb,"['jeugd', 'zorg', 'welzijn', 'samenleving']",0.5,36,1,55,2025-12-14
196,ggz agoog,ggz,het werkveld van de ggz staat hier centraal. deze minor is verplicht om een ggz registratie te halen binnen profiel zorg. in dit profiel gaat het o.a. om het optimaal sociaal functioneren van mensen met een verstandelijke beperking of psychische kwetsbaarheid. hun aandoeningen en beperkingen worden herkend en waar nodig worden zij ondersteund.,het werkveld van de ggz staat hier centraal. deze minor is verplicht om een ggz registratie te halen binnen profiel zorg.,30,breda,72,nlqf6,ntb,['ggz'],0.36,235,5,45,2025-09-12
197,werken in gedwongen kader,ntb,"de minor wigk bereidt studenten voor op het werken met mensen (volwassenen, jongeren) die grensoverschrijdend gedrag vertonen, dat schadelijk is voor hen zelf en voor hun omgeving. probleemgedrag gaat vaak gepaard met (soms ernstige) sociale, emotionele, materiële problemen en bereikt een niveau dat justitieel ingrijpen noodzakelijk wordt.",de minor heeft een eigen landelijk profiel. er wordt samengewerkt met het werkveld op basis van het landelijk curriculum.,30,breda,73,nlqf6,ntb,['ntb'],0.74,286,5,27,2025-11-29
198,minor verschil maken,"welzijn, samenleving, professional","een minor open voor sociale opleidingen waarin de vraag centraal staat hoe de professional binnen zijn praktijk verschil maakt. door presentie- en schematheorie, filosofie en een exposure wordt de basis gelegd voor zelfkennis, zelfbewustzijn en praktische wijsheid om een maatschappelijke droom te verwezenlijken","een minor open voor sociale opleidingen waarin de vraag centraal staat hoe de professional binnen zijn praktijk verschil maakt. door presentie- en schematheorie, filosofie en een exposure wordt de basis gelegd voor zelfkennis, zelfbewustzijn en praktische wijsheid om een maatschappelijke droom te verwezenlijken",30,breda,74,nlqf6,ntb,"['welzijn', 'samenleving', 'professional']",0.59,295,4,77,2025-10-16
199,acuut complexe zorg,"zorg, welzijn, acute zorg","in de minor acz ga je je verdiepen in een aantal acute en complexe casussen. in deze casuïstiek staan diverse specialismen centraal. het interessante van de minor acz is, dat je jezelf aan de hand van deze casuïstiek verdiept in de klinische zorg.",acuut complexe zorg; verdiepende minor gericht op verpleegkunde studenten,30,breda,75,nlqf6,ntb,"['zorg', 'welzijn', 'acute', 'zorg']",0.38,106,2,79,2025-10-04
200,"kind, kraam, jeugd","jeugd, welzijn","binnen de minor kraam, kind, jeugd (kkj) staat de zorg aan zwangeren, kraamvrouwen en kinderen van 0-18 jaar met hun ouders centraal. het is een verdiepende minor waarin onderwerpen aan bod komen vanuit de expertisegebieden van de kinderverpleegkundige, de obstetrieverpleegkundige en de jeugdverpleegkundige. doel van de minor is het ontwikkelen van een generieke blik op het kind en diens systeem.","kraam, kind en jeugdigen; verdiepende minor gericht op verpleegkunde studenten",30,breda,76,nlqf6,ntb,"['jeugd', 'welzijn']",0.62,293,1,69,2025-10-19
201,positieve psychiatrie,ntb,"de minor positieve psychiatrie is verdiepend ten aanzien van verpleegkundige zorg aan cliënten van alle leeftijden met één of meer complexe psychiatrische aandoeningen. uitgangpunt van de minor is specialistische zorg vanuit een generiek bewustzijn: alle patiëntproblemen op somatisch, psychisch, functioneel, sociaal en existentieel gebied worden gediagnosticeerd en meegenomen in het klinisch redeneren.",positieve psychiatrie,30,breda,77,nlqf6,ntb,['ntb'],0.32,376,4,47,2025-11-17
202,palliatieve zorg,ntb,palliatieve zorg,palliatieve zorg,30,breda,63,nlqf6,ntb,['ntb'],0.89,457,3,47,2025-11-29
203,minor gezond samenleven,"welzijn, samenleving, zorg, gezonde leefstijl","gezonde leefstijl staat centraal, invloed van de omgeving staat centraal, zingeving. domeinoverstijgend samenwerken aan levensechte opdrachten van het werkveld zorg en welzijn.","gezonde leefstijl staat centraal, invloed van de omgeving staat centraal, zingeving. domeinoverstijgend samenwerken aan levensechte opdrachten van het werkveld zorg en welzijn.",30,breda,78,nlqf6,ntb,"['welzijn', 'samenleving', 'zorg', 'gezonde', 'leefstijl']",0.47,490,4,56,2025-10-15
204,omdenken: anders werken in de zorg,"zorg, welzijn, educatie, personeelstekort, vitale medewerkers",ntb,ntb,30,breda,62,nlqf6,ntb,"['zorg', 'welzijn', 'educatie', 'personeelstekort', 'vitale', 'medewerkers']",0.73,462,4,60,2025-09-27
205,patronen doorbreken / sociale verbinding & welzijn,"trauma, hechting, ontwikkeling, sociale verbondenheid, inclusie",ntb,ntb,30,breda,62,nlqf6,ntb,"['trauma', 'hechting', 'ontwikkeling', 'sociale', 'verbondenheid', 'inclusie']",0.5,326,2,55,2025-11-12
206,pedagogisch/didactische basis voor professonals,ntb,"met deze module kunnen studenten van verschillende opleidingen een basis pedagogische en didactische basis verkrijgen. je leert jouw vakkennis over het voetlicht te brengen aan kinderen en jongvolwassenen in verschillende leeftijden. het programma leert jou de basis op de volgende onderwerpen de basis pedagogische en didactische vaardigheden, klassenmanagement en het ontwerpen van een 'lesaanbod'.",pedagogisch/didactische basis voor professonals,30,breda,79,nlqf6,ntb,['ntb'],0.64,313,3,46,2025-09-26
207,zorg in de langdurige hulpverlening,"hulpverlening, zorg, psychische problematiek, verslaving","hoe het is om te werken met mensen die langdurige hulpverlening nodig hebben? je leert methodisch te werken met verschillende doelgroepen, zoals mensen met verstandelijke of lichamelijke beperkingen, psychiatrische problematiek, verslaving en/of detentie.","hoe het is om te werken met mensen die langdurige hulpverlening nodig hebben? je leert methodisch te werken met verschillende doelgroepen, zoals mensen met verstandelijke of lichamelijke beperkingen, psychiatrische problematiek, verslaving en/of detentie.",15,breda en den bosch,61,nlqf5,ntb,"['hulpverlening', 'zorg', 'psychische', 'problematiek', 'verslaving']",0.66,156,4,73,2025-10-17
208,welzijn en samenleving,"preventie, welzijn, samenleving","wil je (samen met andere disciplines) een verschil maken voor de mensen die met ondersteuning kunnen deelnemen aan de samenleving? de focus ligt op methodisch en preventief werken rondom thema's als armoede, zelfzorg, werken in de keten en schuldhulpverlening.","wil je (samen met andere disciplines) een verschil maken voor de mensen die met ondersteuning kunnen deelnemen aan de samenleving? de focus ligt op methodisch en preventief werken rondom thema's als armoede, zelfzorg, werken in de keten en schuldhulpverlening.",15,breda en den bosch,61,nlqf5,ntb,"['preventie', 'welzijn', 'samenleving']",0.42,13,1,36,2025-11-25
209,studeren buitenland,"internationalisering, ervaring buitenland, sdg's",mogelijkheid om een project in het buitenland te doen en daar studiepunten voor te krijgen (anders dan stage of onderwijs volgen in het buitenland),mogelijkheid om een project in het buitenland te doen en daar studiepunten voor te krijgen (anders dan stage of onderwijs volgen in het buitenland),30,breda,64,nlqf6,ntb,"['internationalisering', 'ervaring', 'buitenland', 'sdgs']",0.93,44,1,28,2025-12-20
223,act for change together nlqf6 30 + 15 ects,"persoonlijke ontwikkeling, activisme, betrokken, maatschappelijk, samenwerken",de tussenruimte staat voor (1) trans- en interdisciplinair werken om (2) maatschappelijke vraagstukken verder te brengen vanuit co-creatie en (3) de verbinding tussen onderwijs & onderzoek. dit doen wij ten alle tijden vanuit (4) eigen engagement van de deelnemers (student/medewerker/organisatie/bewoner).,de tussenruimte staat voor (1) trans- en interdisciplinair werken om (2) maatschappelijke vraagstukken verder te brengen vanuit co-creatie en (3) de verbinding tussen onderwijs & onderzoek. dit doen wij ten alle tijden vanuit (4) eigen engagement van de deelnemers (student/medewerker/organisatie/bewoner).,30,breda,80,nlqf6,"betrokkenheid, activeren van en co-creeeren met een community, en kritische reflectie. je oriënteert je op het thema van brede welvaart en nieuw ondernemerschap en vormt samen een conceptueel model op basis van kennis en ervaringen die je op uiteenlopende wijzen opdoet. je presenteert jezelf zowel als persoon als vanuit je eigen discipline. je maakt je leerproces inzichtelijk en verbindt jezelf daarmee inhoudelijk en relationeel met anderen uit de community (vormt groepen of samenwerkingen). op basis van het conceptueel model en jouw persoonlijke motivatie benoem je jouw eigen challenge voor deze module. je voert een omgevings- en stakeholderanalyse uit. je komt in actie en gaat bijvoorbeeld ‘de wijk in’ en in gesprek met mensen die mogelijk een rol kunnen gaan spelen in jouw challenge. je creëert ervaringen en laat je inspireren en verdiept je onderzoek naar aanleiding van nieuwe vragen en inzichten. je maakt je leerproces inzichtelijk en scherpt je challenge aan. je benadert stakeholders actief om een coalition of the willing te vormen met deelnemers uit de community, organisaties en/of burgers, die jouw challenge steunen en zich in willen zetten voor een gezamenlijke ambitie. met de coalition of the willing verken je ideeën om invulling te geven aan de ambitie. experimenteer of inspireer in het klein met je ideeën om iets tot stand te brengen en impact te kunnen maken. kortom in interactie met anderen breng je een beweging op gang. je maakt hierbij zelf op creatieve wijze inzichtelijk wat jouw impact is geweest.  borg dat de beweging die in gang is gezet met de coalition of the willing, verder kan gaan. zorg voor een goede kennisdeling, organiseer vervolgacties en beleg verantwoordelijkheden bij de juiste partners, zodat er eigenaarschap wordt gecreëerd. je signaleert beperkingen van je eigen kennis en handelingsrepertoire en reflecteert kritisch op vraagstukken en processen uit deze context met als doel: de persoonlijke ontwikkeling, de samenwerking en interactie met anderen en het eigen aandeel daarin te kunnen onderkennen en bijsturen. hiermee draag je bij aan kennisontwikkeling en verspreiding op het gebied van brede welvaart en nieuw ondernemerschap. je verantwoord je eigen handelen op basis van bewijsmateriaal en relevante literatuur.","['persoonlijke', 'ontwikkeling', 'activisme', 'betrokken', 'maatschappelijk', 'samenwerken']",0.8,201,5,52,2025-10-26
224,biobased technology and business development. zie alst,"biobased technologies, business developments, sustainable entrepreneurship, multidisciplinary group project, international","in this international and multidisciplinary minor, you will discover the possibilities of biobased technologies, business developments and sustainable entrepreneurship. the body of the minor consists of a multidisciplinary group project for a client (governmental organization or company).","in this international and multidisciplinary minor, you will discover the possibilities of biobased technologies, business developments and sustainable entrepreneurship. the body of the minor consists of a multidisciplinary group project for a client (governmental organization or company).",30,breda,81,nlqf6,"""(biobased) circular chains: work on an multidisciplinary group project for a client (governmental organization or company) that wants to become more sustainable or (further) develop and implement a biobased and/or circular technology to come up with a technical concept and business plan for your client (combine: marketing, finance and technique). co2 neutral cities: work for your chosen city with other group members and learn how to make a city climate neutral and how you can convince the people involved to go for your ideas. work on a biobased problem for a brazilian company together with brazilian students to learn from and with students from another culture and to come a quick solution in an international environment (pressure cooker). your world, future and purpose: explore your qualities, talents and personal entrepreneurial desires and preferences to grow to a team, both personal and professionally.""","['biobased', 'technologies', 'business', 'developments', 'sustainable', 'entrepreneurship', 'multidisciplinary', 'group', 'project', 'international']",0.91,58,3,72,2025-12-03
225,"avans incubator nlqf6, 30 + 15 ec","ondernemen, maatwerk, groei, opstap naar ecosysteem, community","avans incubator is de plek waar studenten, van welke hogeschool-opleiding dan ook, terecht kunnen om hun onderneming te accelereren. avans incubator geeft je de kans om je idee om te zetten in een onderneming, of om je bestaande ondernemer een ware boost te geven! avans incubator is hét startpunt voor ondernemers in het west brabantse start-up landschap.","avans incubator is de plek waar studenten, van welke hogeschool-opleiding dan ook, terecht kunnen om hun onderneming te accelereren. avans incubator geeft je de kans om je idee om te zetten in een onderneming, of om je bestaande ondernemer een ware boost te geven! avans incubator is hét startpunt voor ondernemers in het west brabantse start-up landschap.",30,breda,82,nlqf6,"1. student creert visie en waardepropositie voor organisatie; 2. student ontwikkelt onderneming op 5 belangrijkste elementen: klant, product, business case, team en financieel/impact 3. ondernemende houding: ideeen en kansen, middelen en in actie.","['ondernemen', 'maatwerk', 'groei', 'opstap', 'naar', 'ecosysteem', 'community']",0.88,26,3,39,2025-12-16
